lineno;moment;mapnumber;round;map_name;match_id;hs;penetrated;throughsmoke;type;author_name;author_id;author_side;time;victim_id;victim_name;victim_side;weapon;damage;damage_armor;victim_health;victim_armor;hitgroup;author_coord;victim_coord;blinded_time;flashbang_id
2;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:13;;;;;;;;;;;;;
3;map_vetoing;0;0;;bo3;0;0;0;left buyzone;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:13;;;;;;;;;;;;;
4;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:14;;;;;;;;;;;;;
5;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:15;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;129.0;0.0;0.0;100.0;head;('4137', '-12057', '3152');('3920', '-11216', '3136');;
6;map_vetoing;0;0;;bo3;1;0;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:15;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1_silencer;;;;;;('4137', '-12057', '3152');('3920', '-11216', '3200');;
7;map_vetoing;0;0;;bo3;0;0;0;left buyzone;pLn;STEAM_1:0:79381514;CT;12/21/2021 - 19:34:15;;;;;;;;;;;;;
8;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;80.0;95.0;chest;('1379', '-11959', '3136');('1369', '-11625', '3154');;
9;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:16;STEAM_1:1:546304018;GABIGORDO;CT;famas;20.0;4.0;80.0;95.0;chest;('1368', '-11625', '3154');('1379', '-11959', '3136');;
10;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;60.0;90.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
12;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;40.0;85.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
13;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;20.0;80.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
14;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:17;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;25.0;5.0;0.0;74.0;stomach;('1379', '-11959', '3136');('1368', '-11625', '3154');;
15;map_vetoing;0;0;;bo3;0;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:17;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;;;;;;;('1379', '-11959', '3136');('1368', '-11625', '3218');;
16;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:17;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;26.0;5.0;74.0;94.0;chest;('6118', '-11775', '3154');('6238', '-11546', '3154');;
